marker,Identifier,Score,Component,Description
ARogers,Participant 12895783,5,25,Correct formatting of sections and sub-sections
ARogers,Participant 12895783,5,26,Correct usage of APA-formatted citations and references
ARogers,Participant 12895699,4,1,Abstract is clear and accurate
ARogers,Participant 12895699,3,2,Abstract contains correct information
ARogers,Participant 12895699,2,3,Introduction is clear and accurate
ARogers,Participant 12895699,3,4,Introduction gives big-picture overview
ARogers,Participant 12895699,3,5,Introduction outlines specific research area
ARogers,Participant 12895699,2,6,Introduction gives rationale for current experiment
ARogers,Participant 12895699,3,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12895699,2,8,Sample sizes are justified through a power calculation
ARogers,Participant 12895699,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12895699,3,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12895699,3,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12895699,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12895699,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12895699,1,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12895699,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12895699,2,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12895699,3,18,Discussion correctly interprets findings
ARogers,Participant 12895699,2,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12895699,2,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12895699,2,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12895699,4,22,Discussion concludes appropriately.
ARogers,Participant 12895699,3,23,Overall clarity of writing
ARogers,Participant 12895699,4,24,Overall quality of grammar and spelling
ARogers,Participant 12895699,4,25,Correct formatting of sections and sub-sections
ARogers,Participant 12895699,4,26,Correct usage of APA-formatted citations and references
ARogers,Participant 12895794,5,1,Abstract is clear and accurate
ARogers,Participant 12895794,3,2,Abstract contains correct information
ARogers,Participant 12895794,4,3,Introduction is clear and accurate
ARogers,Participant 12895794,4,4,Introduction gives big-picture overview
ARogers,Participant 12895794,4,5,Introduction outlines specific research area
ARogers,Participant 12895794,3,6,Introduction gives rationale for current experiment
ARogers,Participant 12895794,4,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12895794,4,8,Sample sizes are justified through a power calculation
ARogers,Participant 12895794,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12895794,4,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12895794,3,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12895794,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12895794,2,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12895794,1,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12895794,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12895794,3,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12895794,4,18,Discussion correctly interprets findings
ARogers,Participant 12895794,5,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12895794,5,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12895794,2,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12895794,3,22,Discussion concludes appropriately.
ARogers,Participant 12895794,4,23,Overall clarity of writing
ARogers,Participant 12895794,4,24,Overall quality of grammar and spelling
ARogers,Participant 12895794,5,25,Correct formatting of sections and sub-sections
ARogers,Participant 12895794,5,26,Correct usage of APA-formatted citations and references
ARogers,Participant 12895801,5,1,Abstract is clear and accurate
ARogers,Participant 12895801,4,2,Abstract contains correct information
ARogers,Participant 12895801,4,3,Introduction is clear and accurate
ARogers,Participant 12895801,4,4,Introduction gives big-picture overview
ARogers,Participant 12895801,4,5,Introduction outlines specific research area
ARogers,Participant 12895801,5,6,Introduction gives rationale for current experiment
ARogers,Participant 12895801,5,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12895801,4,8,Sample sizes are justified through a power calculation
ARogers,Participant 12895801,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12895801,5,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12895801,5,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12895801,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12895801,2,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12895801,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12895801,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12895801,5,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12895801,4,18,Discussion correctly interprets findings
ARogers,Participant 12895801,4,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12895801,5,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12895801,3,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12895801,4,22,Discussion concludes appropriately.
ARogers,Participant 12895801,4,23,Overall clarity of writing
ARogers,Participant 12895801,4,24,Overall quality of grammar and spelling
ARogers,Participant 12895801,5,25,Correct formatting of sections and sub-sections
ARogers,Participant 12895801,5,26,Correct usage of APA-formatted citations and references
ARogers,Participant 12895826,3,1,Abstract is clear and accurate
ARogers,Participant 12895826,4,2,Abstract contains correct information
ARogers,Participant 12895826,3,3,Introduction is clear and accurate
ARogers,Participant 12895826,4,4,Introduction gives big-picture overview
ARogers,Participant 12895826,4,5,Introduction outlines specific research area
ARogers,Participant 12895826,3,6,Introduction gives rationale for current experiment
ARogers,Participant 12895826,4,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12895826,4,8,Sample sizes are justified through a power calculation
ARogers,Participant 12895826,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12895826,4,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12895826,5,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12895826,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12895826,2,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12895826,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12895826,4,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12895826,3,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12895826,3,18,Discussion correctly interprets findings
ARogers,Participant 12895826,4,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12895826,3,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12895826,4,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12895826,3,22,Discussion concludes appropriately.
ARogers,Participant 12895826,4,23,Overall clarity of writing
ARogers,Participant 12895826,3,24,Overall quality of grammar and spelling
ARogers,Participant 12895826,5,25,Correct formatting of sections and sub-sections
ARogers,Participant 12895826,3,26,Correct usage of APA-formatted citations and references
ARogers,Participant 12895876,4,1,Abstract is clear and accurate
ARogers,Participant 12895876,4,2,Abstract contains correct information
ARogers,Participant 12895876,3,3,Introduction is clear and accurate
ARogers,Participant 12895876,4,4,Introduction gives big-picture overview
ARogers,Participant 12895876,4,5,Introduction outlines specific research area
ARogers,Participant 12895876,4,6,Introduction gives rationale for current experiment
ARogers,Participant 12895876,3,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12895876,4,8,Sample sizes are justified through a power calculation
ARogers,Participant 12895876,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12895876,5,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12895876,5,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12895876,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12895876,2,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12895876,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12895876,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12895876,4,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12895876,4,18,Discussion correctly interprets findings
ARogers,Participant 12895876,4,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12895876,5,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12895876,4,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12895876,3,22,Discussion concludes appropriately.
ARogers,Participant 12895876,4,23,Overall clarity of writing
ARogers,Participant 12895876,4,24,Overall quality of grammar and spelling
ARogers,Participant 12895876,5,25,Correct formatting of sections and sub-sections
ARogers,Participant 12895876,5,26,Correct usage of APA-formatted citations and references
ARogers,Participant 12895880,3,1,Abstract is clear and accurate
ARogers,Participant 12895880,3,2,Abstract contains correct information
ARogers,Participant 12895880,3,3,Introduction is clear and accurate
ARogers,Participant 12895880,3,4,Introduction gives big-picture overview
ARogers,Participant 12895880,3,5,Introduction outlines specific research area
ARogers,Participant 12895880,2,6,Introduction gives rationale for current experiment
ARogers,Participant 12895880,3,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12895880,4,8,Sample sizes are justified through a power calculation
ARogers,Participant 12895880,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12895880,4,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12895880,2,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12895880,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12895880,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12895880,1,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12895880,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12895880,2,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12895880,2,18,Discussion correctly interprets findings
ARogers,Participant 12895880,2,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12895880,2,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12895880,2,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12895880,1,22,Discussion concludes appropriately.
ARogers,Participant 12895880,3,23,Overall clarity of writing
ARogers,Participant 12895880,3,24,Overall quality of grammar and spelling
ARogers,Participant 12895880,4,25,Correct formatting of sections and sub-sections
ARogers,Participant 12895880,4,26,Correct usage of APA-formatted citations and references
ARogers,Participant 12895884,2,1,Abstract is clear and accurate
ARogers,Participant 12895884,3,2,Abstract contains correct information
ARogers,Participant 12895884,2,3,Introduction is clear and accurate
ARogers,Participant 12895884,3,4,Introduction gives big-picture overview
ARogers,Participant 12895884,2,5,Introduction outlines specific research area
ARogers,Participant 12895884,2,6,Introduction gives rationale for current experiment
ARogers,Participant 12895884,2,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12895884,2,8,Sample sizes are justified through a power calculation
ARogers,Participant 12895884,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12895884,4,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12895884,2,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12895884,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12895884,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12895884,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12895884,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12895884,3,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12895884,2,18,Discussion correctly interprets findings
ARogers,Participant 12895884,3,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12895884,2,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12895884,2,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12895884,3,22,Discussion concludes appropriately.
ARogers,Participant 12895884,3,23,Overall clarity of writing
ARogers,Participant 12895884,3,24,Overall quality of grammar and spelling
ARogers,Participant 12895884,5,25,Correct formatting of sections and sub-sections
ARogers,Participant 12895884,4,26,Correct usage of APA-formatted citations and references
ARogers,Participant 12895888,5,1,Abstract is clear and accurate
ARogers,Participant 12895888,5,2,Abstract contains correct information
ARogers,Participant 12895888,4,3,Introduction is clear and accurate
ARogers,Participant 12895888,5,4,Introduction gives big-picture overview
ARogers,Participant 12895888,5,5,Introduction outlines specific research area
ARogers,Participant 12895888,4,6,Introduction gives rationale for current experiment
ARogers,Participant 12895888,5,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12895888,4,8,Sample sizes are justified through a power calculation
ARogers,Participant 12895888,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12895888,5,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12895888,3,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12895888,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12895888,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12895888,1,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12895888,4,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12895888,4,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12895888,5,18,Discussion correctly interprets findings
ARogers,Participant 12895888,5,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12895888,4,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12895888,4,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12895888,5,22,Discussion concludes appropriately.
ARogers,Participant 12895888,5,23,Overall clarity of writing
ARogers,Participant 12895888,5,24,Overall quality of grammar and spelling
ARogers,Participant 12895888,5,25,Correct formatting of sections and sub-sections
ARogers,Participant 12895888,5,26,Correct usage of APA-formatted citations and references
ARogers,Participant 12895968,3,1,Abstract is clear and accurate
ARogers,Participant 12895968,3,2,Abstract contains correct information
ARogers,Participant 12895968,3,3,Introduction is clear and accurate
ARogers,Participant 12895968,3,4,Introduction gives big-picture overview
ARogers,Participant 12895968,2,5,Introduction outlines specific research area
ARogers,Participant 12895968,2,6,Introduction gives rationale for current experiment
ARogers,Participant 12895968,4,7,"Participant section is clear, accurate, and contain correct information"
ARogers,Participant 12895968,4,8,Sample sizes are justified through a power calculation
ARogers,Participant 12895968,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ARogers,Participant 12895968,3,10,"Procedure section is clear, accurate, and contain correct information."
ARogers,Participant 12895968,2,11,"Result section is overall clear, accurate, and contain correct information"
ARogers,Participant 12895968,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ARogers,Participant 12895968,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ARogers,Participant 12895968,1,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ARogers,Participant 12895968,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ARogers,Participant 12895968,1,17,Discussion correctly and clearly summarises findings
ARogers,Participant 12895968,2,18,Discussion correctly interprets findings
ARogers,Participant 12895968,2,19,Discussion makes appropriate links to previous literature
ARogers,Participant 12895968,2,20,Discussion provides good considerations of the limitations of the current study
ARogers,Participant 12895968,2,21,"Discussion makes a good, sensible suggestion for future work"
ARogers,Participant 12895968,3,22,Discussion concludes appropriately.
ARogers,Participant 12895968,3,23,Overall clarity of writing
ARogers,Participant 12895968,4,24,Overall quality of grammar and spelling
ARogers,Participant 12895968,5,25,Correct formatting of sections and sub-sections
ARogers,Participant 12895968,4,26,Correct usage of APA-formatted citations and references
DDjama,Participant 12895904,3,1,Abstract is clear and accurate
DDjama,Participant 12895904,3,2,Abstract contains correct information
DDjama,Participant 12895904,2,3,Introduction is clear and accurate
DDjama,Participant 12895904,2,4,Introduction gives big-picture overview
DDjama,Participant 12895904,3,5,Introduction outlines specific research area
DDjama,Participant 12895904,2,6,Introduction gives rationale for current experiment
DDjama,Participant 12895904,3,7,"Participant section is clear, accurate, and contain correct information"
DDjama,Participant 12895904,1,8,Sample sizes are justified through a power calculation
DDjama,Participant 12895904,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DDjama,Participant 12895904,3,10,"Procedure section is clear, accurate, and contain correct information."
DDjama,Participant 12895904,3,11,"Result section is overall clear, accurate, and contain correct information"
DDjama,Participant 12895904,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DDjama,Participant 12895904,2,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DDjama,Participant 12895904,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DDjama,Participant 12895904,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DDjama,Participant 12895904,2,17,Discussion correctly and clearly summarises findings
DDjama,Participant 12895904,2,18,Discussion correctly interprets findings
DDjama,Participant 12895904,2,19,Discussion makes appropriate links to previous literature
DDjama,Participant 12895904,3,20,Discussion provides good considerations of the limitations of the current study
DDjama,Participant 12895904,3,21,"Discussion makes a good, sensible suggestion for future work"
DDjama,Participant 12895904,3,22,Discussion concludes appropriately.
DDjama,Participant 12895904,2,23,Overall clarity of writing
DDjama,Participant 12895904,2,24,Overall quality of grammar and spelling
DDjama,Participant 12895904,4,25,Correct formatting of sections and sub-sections
DDjama,Participant 12895904,2,26,Correct usage of APA-formatted citations and references
DDjama,Participant 12895840,4,1,Abstract is clear and accurate
DDjama,Participant 12895840,4,2,Abstract contains correct information
DDjama,Participant 12895840,3,3,Introduction is clear and accurate
DDjama,Participant 12895840,3,4,Introduction gives big-picture overview
DDjama,Participant 12895840,3,5,Introduction outlines specific research area
DDjama,Participant 12895840,3,6,Introduction gives rationale for current experiment
DDjama,Participant 12895840,5,7,"Participant section is clear, accurate, and contain correct information"
DDjama,Participant 12895840,4,8,Sample sizes are justified through a power calculation
DDjama,Participant 12895840,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DDjama,Participant 12895840,3,10,"Procedure section is clear, accurate, and contain correct information."
DDjama,Participant 12895840,3,11,"Result section is overall clear, accurate, and contain correct information"
DDjama,Participant 12895840,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DDjama,Participant 12895840,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DDjama,Participant 12895840,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DDjama,Participant 12895840,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DDjama,Participant 12895840,3,17,Discussion correctly and clearly summarises findings
DDjama,Participant 12895840,3,18,Discussion correctly interprets findings
DDjama,Participant 12895840,3,19,Discussion makes appropriate links to previous literature
DDjama,Participant 12895840,3,20,Discussion provides good considerations of the limitations of the current study
DDjama,Participant 12895840,4,21,"Discussion makes a good, sensible suggestion for future work"
DDjama,Participant 12895840,3,22,Discussion concludes appropriately.
DDjama,Participant 12895840,3,23,Overall clarity of writing
DDjama,Participant 12895840,5,24,Overall quality of grammar and spelling
DDjama,Participant 12895840,5,25,Correct formatting of sections and sub-sections
DDjama,Participant 12895840,4,26,Correct usage of APA-formatted citations and references
DDjama,Participant 12895902,3,1,Abstract is clear and accurate
DDjama,Participant 12895902,3,2,Abstract contains correct information
DDjama,Participant 12895902,3,3,Introduction is clear and accurate
DDjama,Participant 12895902,3,4,Introduction gives big-picture overview
DDjama,Participant 12895902,3,5,Introduction outlines specific research area
DDjama,Participant 12895902,2,6,Introduction gives rationale for current experiment
DDjama,Participant 12895902,4,7,"Participant section is clear, accurate, and contain correct information"
DDjama,Participant 12895902,1,8,Sample sizes are justified through a power calculation
DDjama,Participant 12895902,2,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DDjama,Participant 12895902,4,10,"Procedure section is clear, accurate, and contain correct information."
DDjama,Participant 12895902,4,11,"Result section is overall clear, accurate, and contain correct information"
DDjama,Participant 12895902,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DDjama,Participant 12895902,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DDjama,Participant 12895902,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DDjama,Participant 12895902,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DDjama,Participant 12895902,3,17,Discussion correctly and clearly summarises findings
DDjama,Participant 12895902,4,18,Discussion correctly interprets findings
DDjama,Participant 12895902,4,19,Discussion makes appropriate links to previous literature
DDjama,Participant 12895902,2,20,Discussion provides good considerations of the limitations of the current study
DDjama,Participant 12895902,3,21,"Discussion makes a good, sensible suggestion for future work"
DDjama,Participant 12895902,1,22,Discussion concludes appropriately.
DDjama,Participant 12895902,4,23,Overall clarity of writing
DDjama,Participant 12895902,4,24,Overall quality of grammar and spelling
DDjama,Participant 12895902,5,25,Correct formatting of sections and sub-sections
DDjama,Participant 12895902,4,26,Correct usage of APA-formatted citations and references
DDjama,Participant 12895722,3,1,Abstract is clear and accurate
DDjama,Participant 12895722,3,2,Abstract contains correct information
DDjama,Participant 12895722,3,3,Introduction is clear and accurate
DDjama,Participant 12895722,2,4,Introduction gives big-picture overview
DDjama,Participant 12895722,3,5,Introduction outlines specific research area
DDjama,Participant 12895722,2,6,Introduction gives rationale for current experiment
DDjama,Participant 12895722,4,7,"Participant section is clear, accurate, and contain correct information"
DDjama,Participant 12895722,5,8,Sample sizes are justified through a power calculation
DDjama,Participant 12895722,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DDjama,Participant 12895722,5,10,"Procedure section is clear, accurate, and contain correct information."
DDjama,Participant 12895722,3,11,"Result section is overall clear, accurate, and contain correct information"
DDjama,Participant 12895722,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DDjama,Participant 12895722,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DDjama,Participant 12895722,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DDjama,Participant 12895722,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DDjama,Participant 12895722,3,17,Discussion correctly and clearly summarises findings
DDjama,Participant 12895722,3,18,Discussion correctly interprets findings
DDjama,Participant 12895722,1,19,Discussion makes appropriate links to previous literature
DDjama,Participant 12895722,2,20,Discussion provides good considerations of the limitations of the current study
DDjama,Participant 12895722,3,21,"Discussion makes a good, sensible suggestion for future work"
DDjama,Participant 12895722,3,22,Discussion concludes appropriately.
DDjama,Participant 12895722,3,23,Overall clarity of writing
DDjama,Participant 12895722,3,24,Overall quality of grammar and spelling
DDjama,Participant 12895722,5,25,Correct formatting of sections and sub-sections
DDjama,Participant 12895722,3,26,Correct usage of APA-formatted citations and references
DDjama,Participant 12895731,4,1,Abstract is clear and accurate
DDjama,Participant 12895731,4,2,Abstract contains correct information
DDjama,Participant 12895731,4,3,Introduction is clear and accurate
DDjama,Participant 12895731,4,4,Introduction gives big-picture overview
DDjama,Participant 12895731,5,5,Introduction outlines specific research area
DDjama,Participant 12895731,4,6,Introduction gives rationale for current experiment
DDjama,Participant 12895731,4,7,"Participant section is clear, accurate, and contain correct information"
DDjama,Participant 12895731,5,8,Sample sizes are justified through a power calculation
DDjama,Participant 12895731,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DDjama,Participant 12895731,5,10,"Procedure section is clear, accurate, and contain correct information."
DDjama,Participant 12895731,4,11,"Result section is overall clear, accurate, and contain correct information"
DDjama,Participant 12895731,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DDjama,Participant 12895731,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DDjama,Participant 12895731,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DDjama,Participant 12895731,4,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DDjama,Participant 12895731,5,17,Discussion correctly and clearly summarises findings
DDjama,Participant 12895731,5,18,Discussion correctly interprets findings
DDjama,Participant 12895731,5,19,Discussion makes appropriate links to previous literature
DDjama,Participant 12895731,3,20,Discussion provides good considerations of the limitations of the current study
DDjama,Participant 12895731,2,21,"Discussion makes a good, sensible suggestion for future work"
DDjama,Participant 12895731,5,22,Discussion concludes appropriately.
DDjama,Participant 12895731,5,23,Overall clarity of writing
DDjama,Participant 12895731,5,24,Overall quality of grammar and spelling
DDjama,Participant 12895731,5,25,Correct formatting of sections and sub-sections
DDjama,Participant 12895731,4,26,Correct usage of APA-formatted citations and references
DDjama,Participant 12895764,4,1,Abstract is clear and accurate
DDjama,Participant 12895764,4,2,Abstract contains correct information
DDjama,Participant 12895764,5,3,Introduction is clear and accurate
DDjama,Participant 12895764,3,4,Introduction gives big-picture overview
DDjama,Participant 12895764,5,5,Introduction outlines specific research area
DDjama,Participant 12895764,5,6,Introduction gives rationale for current experiment
DDjama,Participant 12895764,3,7,"Participant section is clear, accurate, and contain correct information"
DDjama,Participant 12895764,1,8,Sample sizes are justified through a power calculation
DDjama,Participant 12895764,2,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DDjama,Participant 12895764,3,10,"Procedure section is clear, accurate, and contain correct information."
DDjama,Participant 12895764,4,11,"Result section is overall clear, accurate, and contain correct information"
DDjama,Participant 12895764,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DDjama,Participant 12895764,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DDjama,Participant 12895764,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DDjama,Participant 12895764,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DDjama,Participant 12895764,4,17,Discussion correctly and clearly summarises findings
DDjama,Participant 12895764,4,18,Discussion correctly interprets findings
DDjama,Participant 12895764,3,19,Discussion makes appropriate links to previous literature
DDjama,Participant 12895764,3,20,Discussion provides good considerations of the limitations of the current study
DDjama,Participant 12895764,2,21,"Discussion makes a good, sensible suggestion for future work"
DDjama,Participant 12895764,3,22,Discussion concludes appropriately.
DDjama,Participant 12895764,5,23,Overall clarity of writing
DDjama,Participant 12895764,5,24,Overall quality of grammar and spelling
DDjama,Participant 12895764,5,25,Correct formatting of sections and sub-sections
DDjama,Participant 12895764,3,26,Correct usage of APA-formatted citations and references
DDjama,Participant 12895766,3,1,Abstract is clear and accurate
DDjama,Participant 12895766,3,2,Abstract contains correct information
DDjama,Participant 12895766,2,3,Introduction is clear and accurate
DDjama,Participant 12895766,3,4,Introduction gives big-picture overview
DDjama,Participant 12895766,2,5,Introduction outlines specific research area
DDjama,Participant 12895766,2,6,Introduction gives rationale for current experiment
DDjama,Participant 12895766,2,7,"Participant section is clear, accurate, and contain correct information"
DDjama,Participant 12895766,1,8,Sample sizes are justified through a power calculation
DDjama,Participant 12895766,2,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DDjama,Participant 12895766,3,10,"Procedure section is clear, accurate, and contain correct information."
DDjama,Participant 12895766,3,11,"Result section is overall clear, accurate, and contain correct information"
DDjama,Participant 12895766,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
